"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus"
"sp4549",0,NA,NA,NA,NA,NA,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"sp4555",0,NA,NA,NA,NA,NA,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"sp4559",0,NA,NA,NA,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"sp4560",0,NA,NA,NA,NA,NA,"Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",NA
"sp4562",0,NA,NA,NA,NA,NA,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"sp4569",0,NA,NA,NA,NA,NA,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA
"sp4570",0,NA,NA,NA,NA,NA,"Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Nodosilineaceae","Nodosilinea_PCC-7104"
"sp4572",0,NA,NA,NA,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","FFCH9454",NA
"sp4575",0,NA,NA,NA,NA,NA,"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA
"sp4581",0,NA,NA,NA,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"sp4585",0.0124802029621224,-0.404210001510991,2.91434430436395,-0.138696721902668,0.889689808605866,NA,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus"
"sp4592",0,NA,NA,NA,NA,NA,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"sp4593",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"sp4604",0,NA,NA,NA,NA,NA,"Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",NA
"sp4612",0.0125786661968415,-0.404210001510991,2.91434430436395,-0.138696721902668,0.889689808605866,NA,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"sp4619",0,NA,NA,NA,NA,NA,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"sp4623",0,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridia_or","Hungateiclostridiaceae",NA
"sp4625",0,NA,NA,NA,NA,NA,"Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Citrifermentans"
"sp4631",0,NA,NA,NA,NA,NA,"Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",NA
"sp4635",0.012556316732182,-0.404210001510991,2.91434430436395,-0.138696721902668,0.889689808605866,NA,"Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",NA
"sp4641",0.00834978031692262,-0.297507320321605,2.91436237058698,-0.102083160050438,0.918690667512068,NA,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"sp4650",0,NA,NA,NA,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae",NA
"sp4653",0,NA,NA,NA,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae",NA
"sp4655",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae",NA
"sp4660",0,NA,NA,NA,NA,NA,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces"
"sp4661",0,NA,NA,NA,NA,NA,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA
"sp4666",0,NA,NA,NA,NA,NA,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","DEV008"
"sp4670",0.024809101155686,-0.404210001510991,2.91434430436395,-0.138696721902668,0.889689808605866,NA,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera"
"sp4676",0.012518201998463,-0.297507320145383,2.91436237058695,-0.102083159989973,0.918690667560062,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055"
