"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","threshold","Enriched_Genus"
"2553","sp4224","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerosporobacter",NA,1.10784421624223,-0.115163920753806,0.220120007210833,-0.523186975200765,0.600844144419204,0.666199958460833,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2554","sp4226","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,1.10784421624223,0.190973745487677,0.229210128944569,0.833181964370611,0.404742112726276,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2555","sp4227","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia",NA,1.10782946643321,0.0862768906826667,0.225252630452565,0.38302278872093,0.701702867256046,0.754080841956959,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2556","sp4238","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02",NA,1.10784421624223,-0.370999895245462,0.215743599895169,-1.71963337696105,0.0854991051185858,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2557","sp4240","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,1.10784421624223,-0.370999895245462,0.215743599895166,-1.71963337696107,0.085499105118582,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2558","sp4241","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage",NA,1.10784421624223,-0.370999895245462,0.215743599895168,-1.71963337696105,0.0854991051185849,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2559","sp4242","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA,1.10777538380015,-0.37099370221552,0.215243497198959,-1.72360004851897,0.0847800697803468,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2560","sp4243","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","soli",1.10784421624223,-0.370999895245462,0.215743599895167,-1.71963337696106,0.0854991051185837,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2561","sp4244","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,1.10784421624223,-0.115163920753807,0.220120007210833,-0.523186975200768,0.600844144419203,0.666199958460833,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2562","sp4245","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium",NA,1.10782454983021,0.190973069672797,0.22864444771205,0.835240354986902,0.403582392389066,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
