"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus"
"sp1821",0.0684775130053572,0.412908814397731,2.91198777291806,0.141796204722371,0.887240981971887,0.998452937578405,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"sp1822",0.058350849718683,0.126829208077302,2.91198123401766,0.0435542669697482,0.965259706748005,0.998452937578405,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"sp1824",0.051581343675371,0.242108825515382,2.91204342347397,0.0831405272200765,0.933739801316347,0.998452937578405,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus"
"sp1825",0.0799392099851556,-0.10244928150648,2.80630712102253,-0.0365067959736175,0.970878259919745,0.998452937578405,"Bacteria","Armatimonadota","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae",NA
"sp1827",0.07805834986579,0.355252812212168,2.91201240417807,0.121995638377935,0.902902472540242,0.998452937578405,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"sp1831",0,NA,NA,NA,NA,NA,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea"
"sp1832",0.0364472074328279,0.297229850089346,2.91198087418184,0.102071360675697,0.918700033129897,0.998452937578405,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"sp1833",0.0400025547251131,-0.0981443994700441,2.91197960497569,-0.0337036699372293,0.973113452450037,0.998452937578405,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"sp1834",0.0340010156715909,0.128089687332206,2.91202633226111,0.0439864454222663,0.964915208396581,0.998452937578405,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"sp1835",0.0113940246247505,0.0171403354882389,2.91203942610042,0.00588602452789998,0.995303659022376,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Afipia"
"sp1836",0.0438386284668745,0.18572820009639,2.91205802985357,0.0637790175169446,0.94914618583288,0.998452937578405,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium"
"sp1837",0.0438386284668745,-0.0405007788277835,2.91200893474882,-0.0139081918137304,0.988903226240209,0.998452937578405,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA
